,Date,Open,Time
0,08/03/2020,1.3072,1596412800.0
1,08/04/2020,1.306,1596499200.0
2,08/05/2020,1.3112,1596585600.0
3,08/06/2020,1.3146,1596672000.0
4,08/07/2020,1.3146,1596758400.0
5,08/09/2020,1.3051,1596931200.0
6,08/10/2020,1.307,1597017600.0
7,08/11/2020,1.3048,1597104000.0
8,08/12/2020,1.3032,1597190400.0
9,08/13/2020,1.3063,1597276800.0
10,08/14/2020,1.3086,1597363200.0
11,08/16/2020,1.3084,1597536000.0
12,08/17/2020,1.3102,1597622400.0
13,08/18/2020,1.3235,1597708800.0
14,08/19/2020,1.3098,1597795200.0
15,08/20/2020,1.3212,1597881600.0
16,08/21/2020,1.3212,1597968000.0
17,08/23/2020,1.3087,1598140800.0
18,08/24/2020,1.3063,1598227200.0
19,08/25/2020,1.315,1598313600.0
20,08/26/2020,1.3208,1598400000.0
21,08/27/2020,1.3198,1598486400.0
22,08/28/2020,1.3198,1598572800.0
23,08/30/2020,1.3349,1598745600.0
24,08/31/2020,1.3369,1598832000.0
25,09/01/2020,1.3381,1598918400.0
26,09/02/2020,1.3352,1599004800.0
27,09/03/2020,1.328,1599091200.0
28,09/04/2020,1.328,1599177600.0
29,09/06/2020,1.3282,1599350400.0
30,09/07/2020,1.3166,1599436800.0
31,09/08/2020,1.2987,1599523200.0
32,09/09/2020,1.3,1599609600.0
33,09/10/2020,1.2803,1599696000.0
34,09/11/2020,1.2803,1599782400.0
35,09/13/2020,1.2793,1599955200.0
36,09/14/2020,1.2844,1600041600.0
37,09/15/2020,1.2886,1600128000.0
38,09/16/2020,1.2965,1600214400.0
39,09/17/2020,1.2972,1600300800.0
40,09/18/2020,1.2972,1600387200.0
41,09/20/2020,1.2915,1600560000.0
42,09/21/2020,1.2814,1600646400.0
43,09/22/2020,1.2731,1600732800.0
44,09/23/2020,1.2722,1600819200.0
45,09/24/2020,1.2749,1600905600.0
46,09/25/2020,1.2749,1600992000.0
47,09/27/2020,1.2745,1601164800.0
48,09/28/2020,1.2827,1601251200.0
49,09/29/2020,1.2861,1601337600.0
50,09/30/2020,1.2916,1601424000.0
51,10/01/2020,1.2889,1601510400.0
52,10/02/2020,1.2889,1601596800.0
53,10/04/2020,1.2931,1601769600.0
54,10/05/2020,1.2977,1601856000.0
55,10/06/2020,1.2877,1601942400.0
56,10/07/2020,1.2918,1602028800.0
57,10/08/2020,1.2933,1602115200.0
58,10/09/2020,1.2933,1602201600.0
59,10/11/2020,1.3046,1602374400.0
60,10/12/2020,1.3064,1602460800.0
61,10/13/2020,1.2934,1602547200.0
62,10/14/2020,1.3011,1602633600.0
63,10/15/2020,1.2914,1602720000.0
64,10/16/2020,1.2914,1602806400.0
65,10/18/2020,1.2913,1602979200.0
66,10/19/2020,1.2947,1603065600.0
67,10/20/2020,1.2944,1603152000.0
68,10/21/2020,1.3144,1603238400.0
69,10/22/2020,1.3081,1603324800.0
70,10/23/2020,1.3081,1603411200.0
71,10/25/2020,1.304,1603584000.0
72,10/26/2020,1.3023,1603670400.0
73,10/27/2020,1.3043,1603756800.0
74,10/28/2020,1.2981,1603843200.0
75,10/29/2020,1.2926,1603929600.0
76,10/30/2020,1.2926,1604016000.0
77,11/01/2020,1.2941,1604188800.0
78,11/02/2020,1.2912,1604275200.0
79,11/03/2020,1.3058,1604361600.0
80,11/04/2020,1.2985,1604448000.0
81,11/05/2020,1.3142,1604534400.0
82,11/06/2020,1.3142,1604620800.0
83,11/08/2020,1.3156,1604793600.0
84,11/09/2020,1.3163,1604880000.0
85,11/10/2020,1.3271,1604966400.0
86,11/11/2020,1.3221,1605052800.0
87,11/12/2020,1.3114,1605139200.0
88,11/13/2020,1.3114,1605225600.0
89,11/15/2020,1.3186,1605398400.0
90,11/16/2020,1.3191,1605484800.0
91,11/17/2020,1.3241,1605571200.0
92,11/18/2020,1.3269,1605657600.0
93,11/19/2020,1.3261,1605744000.0
94,11/20/2020,1.3261,1605830400.0
95,11/22/2020,1.3282,1606003200.0
96,11/23/2020,1.3323,1606089600.0
97,11/24/2020,1.3356,1606176000.0
98,11/25/2020,1.3382,1606262400.0
99,11/26/2020,1.3355,1606348800.0
100,11/27/2020,1.3355,1606435200.0
101,11/29/2020,1.3314,1606608000.0
102,11/30/2020,1.3321,1606694400.0
